location,climate,housing,health,crime,transportation,education,arts,recreation,economy,climate_log10,housing_log10,health_log10,crime_log10,transportation_log10,education_log10,arts_log10,recreation_log10,economy_log10
"Abilene,TX",521,6200,237,923,4031,2757,996,1405,7633,2.7168377233,3.7923916895,2.37474834601,2.96520170103,3.60541279815,3.44043676611,2.99825933842,3.14767632424,3.88269526238
"Akron,OH",575,8138,1656,886,4883,2438,5564,2632,4350,2.75966784469,3.91051768552,3.21906033245,2.94743372189,3.68868672428,3.38703370128,3.74538712132,3.42028588494,3.63848925695
"Albany,GA",468,7339,618,970,2531,2560,237,859,5250,2.67024585307,3.8656368877,2.79098847509,2.98677173427,3.40329214516,3.40823996531,2.37474834601,2.93399316383,3.72015930341
"Albany-Schenectady-Troy,NY",476,7908,1431,610,6883,3399,4655,1617,5864,2.67760695272,3.89806666064,3.15563963376,2.78532983501,3.83777776955,3.53135116458,3.66791968532,3.20871001991,3.76819396163
"Albuquerque,NM",659,8393,1853,1483,6558,3026,4496,2612,5727,2.81888541459,3.92391722311,3.26787541932,3.17114115103,3.81677141233,3.48086892369,3.65282630256,3.4169731726,3.75792718311
"Alexandria,LA",520,5819,640,727,2444,2972,334,1018,5254,2.71600334363,3.76484835719,2.80617997398,2.86153441086,3.38810120157,3.47304880509,2.52374646681,3.007747778,3.72049006845
"Allentown,Bethlehem,PA-NJ",559,8288,621,514,2881,3144,2333,1117,5097,2.74741180789,3.9184497424,2.79309160018,2.710963119,3.45954325828,3.49748253737,3.36791473879,3.04805317312,3.70731463359
"Alton,Granite-City,IL",537,6487,965,706,4975,2945,1487,1280,5795,2.7299742857,3.81204389793,2.98452731334,2.84880470105,3.69679308508,3.46908529912,3.17231096852,3.10720996965,3.7630534403
"Altoona,PA",561,6191,432,399,4246,2778,256,1210,4230,2.74896286126,3.79176080401,2.63548374681,2.60097289569,3.62797998983,3.4437322414,2.40823996531,3.08278537032,3.62634036738
"Amarillo,TX",609,6546,669,1073,4902,2852,1235,1109,6241,2.78461729263,3.81597600097,2.82542611777,3.03059972197,3.69037330692,3.45514952118,3.0916669576,3.04493154615,3.79525418258
"Anaheim-Santa-Ana,CA",885,16047,2025,983,3954,2843,5632,3156,6220,2.9469432707,4.20539385261,3.30642502755,2.99255351783,3.59703666498,3.45377685969,3.75066264613,3.49913699454,3.79379038469
"Anchorage,AK",195,12175,601,1223,5091,2414,2346,3000,7668,2.29003461136,4.08546896989,2.778874472,3.08742645704,3.70680309704,3.38273726576,3.37032800778,3.47712125472,3.88468210421
"Anderson,IN",530,5704,580,878,2865,2469,430,838,3370,2.7242758696,3.75617951684,2.76342799356,2.94349451591,3.4571246263,3.39252108993,2.63346845558,2.92324401863,3.52762990087
"Anderson,SC",591,5725,820,975,2707,2772,169,613,4262,2.77158748088,3.75777549101,2.91381385238,2.9890046157,3.43248825577,3.44279322594,2.22788670461,2.78746047452,3.62961344538
"Ann-Arbor,MI",546,11014,2508,1067,3433,3346,7559,2288,4579,2.7371926427,4.04194507215,3.39932753216,3.02816441942,3.53567380343,3.52452593663,3.87846434534,3.35945602012,3.66077064353
"Anniston,AL",560,5530,598,1125,3051,2189,268,1165,4730,2.74818802701,3.7427251313,2.77670118399,3.05115252245,3.48444220764,3.34024576157,2.42813479403,3.06632592536,3.67486114074
"Appleton-Oshkosh-Neenah,WI",396,7877,833,525,3298,2844,1166,2315,5275,2.59769518593,3.89636084547,2.92064500141,2.72015930341,3.51825065131,3.45392959206,3.06669855042,3.36455099535,3.72222246397
"Asheville,NC",694,6722,1204,566,5086,2990,1391,1542,5196,2.84135947045,3.82749850813,3.08062648692,2.75281643119,3.70637635584,3.47567118832,3.14332712999,3.18808437371,3.7156691424
"Athens,GA",601,6691,605,933,1866,2646,3546,1001,5193,2.778874472,3.82549102988,2.78175537465,2.96988164375,3.27091163941,3.42258983985,3.54973873126,3.00043407748,3.7154183226
"Atlanta,GA",696,8316,3195,1308,8409,3057,7559,1362,6315,2.84260923961,3.91991448066,3.50447086249,3.11660774399,3.92474435248,3.48529543873,3.87846434534,3.13417710758,3.80037335489
"Atlantic-City,NJ",615,11074,637,1878,3556,2929,621,2711,8107,2.78887511578,4.04430451918,2.80413943234,3.27369558793,3.5509617523,3.46671937168,2.79309160018,3.43312951758,3.90886017302
"Augusta,GA-SC",534,6292,1798,872,2523,2915,1047,913,5431,2.72754125703,3.79878871395,3.2547896874,2.94051648493,3.40191725052,3.4646385591,3.01994668168,2.96047077753,3.73487980279
"Aurora-Elgin,IL",474,10384,1203,821,3943,2208,3857,1800,5097,2.67577834167,4.01636467946,3.08026562734,2.91434315712,3.59582677707,3.34399906906,3.58624963887,3.2552725051,3.70731463359
"Austin,TX",435,8831,782,1049,3670,3063,5355,1063,7439,2.63848925695,3.94600988477,2.89320675306,3.02077548819,3.56466606425,3.48614699681,3.72875947517,3.02653326452,3.87151455871
"Bakersfield,CA",560,8068,420,1561,3725,2564,1222,1568,6056,2.74818802701,3.90676588954,2.6232492904,3.19340290306,3.57112627708,3.40891802085,3.08707120591,3.19534605835,3.78218586649
"Baltimore,MD",567,9148,3562,1730,7405,3471,9788,2925,5503,2.75358305889,3.96132615593,3.55169391513,3.23804610313,3.86952506286,3.54045461367,3.99069396068,3.46612587042,3.74059951281
"Bangor,ME",451,7277,780,651,5613,2934,1995,2148,5172,2.65417654188,3.86195237492,2.89209460269,2.81358098857,3.74919504222,3.46746010951,3.29994290002,3.33203427703,3.71365851621
"Baton-Rouge,LA",427,8083,342,1565,3329,2635,4237,1413,6308,2.63042787503,3.9075725788,2.53402610606,3.19451434188,3.52231379516,3.42078061955,3.627058464,3.15014216185,3.79989168466
"Battle-Creek,MI",527,6342,900,1031,4652,2483,354,1648,4008,2.72181061521,3.80222623769,2.95424250944,3.01325866528,3.66763970606,3.39497671955,2.54900326203,3.21695720736,3.60292771286
"Beaumont-Port-Arthur,TX",423,6288,616,1313,2782,2745,1795,1813,6019,2.62634036738,3.79851253303,2.78958071216,3.11826472609,3.44435712566,3.43854234879,3.25406445291,3.2583978041,3.77952434332
"Beaver-County,PA",586,7866,861,310,2960,2535,1284,1480,3119,2.76789761602,3.89575394207,2.93500315145,2.49136169383,3.47129171106,3.40397796367,3.10856502373,3.17026171539,3.49401537476
"Bellingham,WA",772,8329,240,825,3776,2778,1302,3200,4247,2.88761730034,3.92059286208,2.38021124171,2.91645394855,3.57703198563,3.4437322414,3.11461098423,3.50514997832,3.62808226099
"Benton-Harbor,MI",566,6761,570,1190,2989,2545,79,1477,3635,2.75281643119,3.83001093594,2.75587485567,3.07554696139,3.47552591504,3.40568778667,1.89762709129,3.16938049531,3.5605044152
"Bergen-Passaic,NJ",559,14607,2661,857,3511,3653,9304,1918,6016,2.74741180789,4.16456102927,3.42504487455,2.93298082192,3.54543082947,3.56264967221,3.96866970172,3.28284860283,3.77930782758
"Billings,MT",452,8315,479,810,6285,3008,778,2046,5913,2.65513843481,3.91986225356,2.68033551341,2.90848501888,3.79830528202,3.47827783192,2.89097959699,3.31090562938,3.771807879
"Biloxi-Gulfport,MS",584,6458,441,810,2516,2592,679,2106,5801,2.76641284711,3.81009804068,2.64443858947,2.90848501888,3.40071063677,3.4136349972,2.83186977428,3.32345836685,3.76350286547
"Binghampton,NY",550,8257,1007,415,4529,3052,1599,1722,5614,2.74036268949,3.9168222846,3.00302947055,2.61804809671,3.65600232068,3.48458452928,3.20384846375,3.23603314712,3.7492724083
"Birmingham,AL",612,6811,1692,1123,5177,2851,3958,1234,4843,2.78675142215,3.83321088028,3.2284003587,3.05037975626,3.71407816498,3.45499721731,3.59747578987,3.0913151597,3.68511446905
"Bismarck,ND",149,8365,804,413,4303,2686,1211,1630,6019,2.17318626841,3.9224659453,2.90525604875,2.61595005166,3.63377134608,3.42910600833,3.08314414314,3.2121876044,3.77952434332
"Bloomington,IN",558,7056,731,657,1746,2873,2152,1990,4829,2.74663419894,3.84855857212,2.86391737696,2.81756536956,3.24204423937,3.45833562599,3.33284226699,3.29885307641,3.6838572054
"Bloomington-Normal,IL",487,8654,815,673,5889,2854,1470,1605,5863,2.68752896121,3.93721689086,2.91115760874,2.82801506422,3.77004155432,3.45545396878,3.16731733475,3.20547503674,3.76811989418
"Boise-City,ID",592,8221,453,880,6575,2391,2385,1672,4633,2.77232170672,3.91492464821,2.65609820201,2.94448267215,3.81789575716,3.37857957612,3.37748838338,3.2232362731,3.6658623002
"Boston,MA",623,11609,5301,1215,6801,3479,21042,3066,6363,2.79448804666,4.0647948112,3.72435780423,3.08457627793,3.83257277485,3.54145442875,4.32308701627,3.48657215052,3.80366192324
"Boulder-Longmont,CO",459,11914,962,1088,7108,2587,3663,4012,7127,2.66181268554,4.07605759576,2.98317507204,3.03662889536,3.85174741913,3.41279642872,3.56383691866,3.60336092435,3.8529067588
