trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-187.51050320562007,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-160.02561055468604,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-49.83633626085188,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-125.3733843682466,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-129.3643285467367,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-120.08840512140254,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-62.65943850292935,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-153.4253636774707,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-22.844970832576085,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-206.3613368471167,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-146.01178486352507,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-231.05531849008344,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,14,-10.937877373589146,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-53.90118476480785,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-124.69130825838032,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-79.82875923413269,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-152.48453902862246,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-129.59989737646484,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-175.4033801162985,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-21.838262735891973,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-133.99448240122928,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-54.61834120779154,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,5,-1.4302392015115295,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-79.0606015417655,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",30,0,-133.99203916759464,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-108.32718258963327,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,10,-94.30460372632434,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,0,-30.744140942597507,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-54.39941267661695,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-68.6424215565983,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
