trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.546367293013274,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.08218150873003,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.2172497591108,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.16353083774536,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.35034714925486,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.50690659780912,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.61663591078528,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.4984837340432,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.17608685132234,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.82418340761475,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.37328901852714,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.62072779190856,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,1,-93.42306614480978,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.7642173307594,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.07559513221173,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,10,-12.319763401925655,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.91241438697588,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.68768289527183,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.94395337024386,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.834913547737443,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.16124782877472,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-128.38998695135058,"{0: 25, 1: 0, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-129.68913933756141,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,6,-139.91021083781123,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.5761504595432,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.1132920571311,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.43773086346482,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.37157796318402,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.99515843493603,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.98702665108843,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
